RecordID,Timestamp,Latitude,Longitude,AreaType,WeatherConditions,TimeOfDay,MovementPatterns,ThermalAnomalies,UnusualObjectsDetected,ObjectType,SoundAnomalies,ElectromagneticSignals,ProximityToSensitiveAreas,RecentActivityLevel,VehicleDensity,HumanPresence,StructureChangeDetection,PastCriminalActivity,ProximityToMilitaryInstallations,LawEnforcementPresence,SuspiciousActivityDetected,Distance (km),NearestMilitaryCamp
147,2023-03-31 01:51:00,34.81400208047185,72.63133495099348,mountain,foggy,morning,hovering,yes,no,unknown,yes,strong,yes,low,19,99,yes,no,yes,medium,1,34.8,Srinagar Base
148,2023-07-05 01:22:00,35.01022386734908,73.40252518720207,urban,windy,night,moving_slow,no,no,missile,yes,strong,yes,high,35,113,yes,no,yes,medium,1,24.73,Srinagar Base
149,2023-04-16 02:53:00,33.35687275854903,73.6900911250241,mountain,foggy,night,moving_fast,yes,no,missile,no,weak,no,low,31,158,yes,yes,no,low,0,8.65,Baramulla Post
150,2023-12-20 15:09:00,32.771841125222124,73.21755878625045,urban,cloudy,afternoon,moving_slow,no,no,none,yes,strong,yes,medium,27,45,yes,no,no,low,1,8.79,Srinagar Base
151,2023-10-25 21:22:00,32.911405941095936,74.43758787014616,forest,foggy,afternoon,moving_fast,no,yes,missile,no,weak,no,medium,38,34,no,no,yes,medium,0,14.73,Kupwara Base
152,2023-12-07 13:02:00,35.09856279348347,73.50609607467493,mountain,clear,morning,stationary,yes,no,none,yes,none,no,medium,5,62,yes,yes,no,medium,0,3.7,Jammu Camp
153,2023-01-17 08:58:00,33.84444733937299,74.31143411832313,border_zone,cloudy,morning,moving_slow,no,yes,sniper,yes,weak,yes,high,28,13,no,yes,no,high,1,10.97,Jammu Camp
154,2023-04-15 09:02:00,34.071555849186566,74.2565730211908,rural,clear,morning,stationary,no,no,missile,no,weak,yes,high,14,131,yes,yes,no,low,1,31.35,Kupwara Base
155,2023-05-14 06:55:00,35.35240782708575,72.85012249731024,urban,cloudy,afternoon,hovering,no,no,missile,yes,none,yes,high,47,3,no,yes,no,high,1,19.79,Jammu Camp
156,2023-01-04 03:23:00,34.94320663231999,73.19305888824482,mountain,rainy,afternoon,moving_slow,yes,no,sniper,no,none,no,medium,10,21,yes,no,yes,high,1,38.13,Srinagar Base
157,2023-03-10 04:57:00,34.9535679288357,74.70824745744984,rural,windy,afternoon,moving_slow,yes,no,missile,no,strong,no,medium,48,139,yes,no,no,high,1,44.69,Jammu Camp
158,2023-02-14 07:50:00,32.94158977823772,74.66211695392934,rural,foggy,night,moving_slow,no,no,missile,no,strong,no,low,28,50,no,yes,no,medium,0,13.51,Jammu Camp
159,2023-07-21 08:00:00,33.996479914114424,73.43321933741422,border_zone,rainy,morning,moving_slow,no,yes,none,no,weak,yes,medium,42,121,yes,no,no,low,0,2.24,Baramulla Post
160,2023-12-23 12:38:00,35.38029095920905,74.14415237302056,urban,cloudy,afternoon,stationary,yes,yes,unknown,no,none,no,low,11,4,yes,no,no,high,1,32.73,Baramulla Post
161,2023-03-09 23:30:00,35.022084957974535,73.68597292256479,border_zone,windy,afternoon,stationary,yes,yes,none,no,weak,yes,high,17,82,yes,no,no,low,1,4.31,Kupwara Base
162,2023-11-23 02:07:00,32.94163627922795,75.19918558324551,rural,clear,evening,moving_fast,yes,yes,missile,yes,weak,no,medium,22,148,yes,yes,no,high,1,25.43,Srinagar Base
163,2023-07-13 18:15:00,33.52910550058549,74.13768451666846,rural,foggy,night,stationary,yes,yes,sniper,no,none,no,medium,48,133,no,yes,no,high,1,1.8,Baramulla Post
164,2023-01-10 14:32:00,32.92609035110355,73.516912928937,forest,cloudy,morning,hovering,yes,no,unknown,yes,weak,no,low,11,185,yes,yes,yes,low,1,37.09,Kupwara Base
165,2023-06-13 04:56:00,34.99824807635105,72.67915889101909,urban,foggy,evening,hovering,no,no,unknown,no,strong,no,low,26,54,yes,no,no,low,1,37.8,Srinagar Base
166,2023-06-25 03:06:00,32.64576683288639,72.54040577507674,forest,rainy,evening,moving_slow,yes,yes,drone,yes,none,no,medium,13,140,yes,yes,yes,high,0,10.68,Jammu Camp
167,2023-03-06 23:42:00,35.467594299629916,72.80413573663209,rural,clear,evening,moving_fast,yes,no,none,yes,none,yes,medium,18,125,yes,no,yes,high,0,10.85,Jammu Camp
168,2023-11-29 01:32:00,34.65373275594051,73.66536367240339,rural,clear,afternoon,moving_fast,yes,no,none,no,strong,no,medium,26,33,no,yes,no,low,0,8.5,Jammu Camp
169,2023-01-19 00:19:00,34.14863569780577,72.6124208066514,mountain,foggy,morning,hovering,no,yes,sniper,no,strong,yes,high,38,150,no,yes,yes,medium,0,0.72,Jammu Camp
170,2023-09-22 10:25:00,34.75078114995691,73.84164123791348,mountain,foggy,afternoon,hovering,no,yes,drone,no,strong,no,high,11,117,yes,yes,yes,low,1,1.69,Jammu Camp
171,2023-11-24 00:55:00,34.27284615101568,74.61565738766929,urban,cloudy,morning,moving_fast,no,no,missile,yes,weak,yes,medium,49,162,no,yes,no,low,0,1.57,Srinagar Base
172,2023-11-08 03:24:00,33.857915604294334,73.25139072296992,rural,rainy,evening,stationary,no,yes,none,yes,weak,yes,low,44,87,yes,no,yes,medium,1,39.22,Kupwara Base
173,2023-07-16 08:45:00,34.115418163633876,74.56639901039695,urban,cloudy,afternoon,hovering,yes,no,missile,yes,strong,yes,high,48,192,yes,no,yes,high,0,40.71,Srinagar Base
174,2023-02-20 02:55:00,33.80755242734243,74.8839760201929,border_zone,foggy,afternoon,moving_slow,yes,yes,unknown,yes,none,no,low,27,174,no,yes,no,high,0,2.92,Jammu Camp
175,2023-03-28 15:08:00,35.24400165761729,73.23233820275561,border_zone,clear,morning,moving_slow,no,yes,sniper,no,weak,no,low,40,156,no,no,yes,low,0,14.29,Baramulla Post
176,2023-09-27 19:04:00,34.90266075274114,72.72130706696358,urban,cloudy,afternoon,hovering,no,no,none,no,none,no,medium,1,162,no,yes,yes,high,1,15.19,Kupwara Base
177,2023-01-14 17:26:00,34.35844942465442,73.29373708608811,urban,cloudy,evening,stationary,no,yes,none,yes,weak,no,low,31,87,yes,no,no,high,0,15.33,Baramulla Post
178,2023-03-23 03:43:00,34.00424730428745,74.46953604498464,urban,cloudy,night,moving_slow,yes,yes,none,yes,none,yes,high,27,37,no,yes,no,high,0,0.89,Baramulla Post
179,2023-07-31 08:01:00,33.61718144156763,74.92464055451408,border_zone,foggy,morning,hovering,no,yes,drone,yes,weak,yes,medium,7,54,no,yes,no,high,1,3.93,Jammu Camp
180,2023-06-02 16:45:00,33.829604600456484,74.75743529738983,forest,clear,morning,stationary,yes,no,unknown,yes,none,yes,low,22,96,no,no,yes,medium,1,5.33,Srinagar Base
181,2023-12-05 09:12:00,34.49583634258045,73.99198700174192,rural,rainy,night,moving_fast,yes,yes,unknown,yes,strong,no,low,27,123,no,no,yes,high,1,45.87,Srinagar Base
182,2023-09-12 15:08:00,34.406052822862144,73.8734343380764,rural,foggy,evening,moving_slow,no,no,unknown,yes,weak,yes,high,35,157,yes,yes,yes,low,0,48.22,Jammu Camp
183,2023-08-29 23:55:00,32.67905578224742,73.88296353882357,rural,clear,afternoon,moving_fast,yes,no,missile,yes,none,no,high,10,16,yes,yes,no,high,0,5.18,Baramulla Post
184,2023-08-01 00:55:00,33.969365371507614,74.90417533388614,border_zone,foggy,morning,hovering,no,no,sniper,no,strong,yes,low,6,152,yes,yes,yes,low,0,11.87,Baramulla Post
185,2023-12-08 17:53:00,34.648604924963564,74.17531419586066,forest,cloudy,afternoon,moving_slow,no,yes,unknown,no,none,yes,medium,28,162,yes,yes,yes,low,0,21.7,Jammu Camp
186,2023-04-20 06:28:00,32.95716942826323,73.49809560411049,mountain,foggy,night,moving_slow,yes,yes,missile,no,none,yes,low,35,148,yes,no,no,high,0,28.37,Baramulla Post
187,2023-11-16 05:19:00,33.36162573098513,73.22460554989392,rural,clear,morning,moving_fast,yes,no,none,no,strong,yes,high,31,198,yes,yes,yes,high,1,31.49,Srinagar Base
188,2023-12-09 05:17:00,34.63797780184843,73.82564095453849,mountain,rainy,evening,moving_slow,yes,yes,missile,no,none,no,low,49,123,yes,no,no,low,0,18.96,Baramulla Post
189,2023-07-25 15:24:00,33.227538055724025,74.12973173417535,rural,windy,evening,stationary,yes,no,unknown,yes,weak,no,low,25,95,no,no,yes,medium,1,37.12,Jammu Camp
190,2023-08-02 20:30:00,35.14644358588056,74.3132719192657,rural,windy,night,hovering,no,no,sniper,no,none,no,high,25,128,no,yes,no,low,0,32.9,Baramulla Post
191,2023-08-18 00:00:00,34.351677874759915,74.32421790317184,rural,cloudy,night,stationary,yes,yes,drone,yes,none,no,high,32,184,no,no,yes,medium,1,27.47,Baramulla Post
192,2023-12-08 07:46:00,34.03003881672536,73.15685951130195,urban,cloudy,afternoon,moving_slow,no,yes,sniper,yes,weak,no,low,22,140,yes,no,no,medium,0,7.75,Baramulla Post
193,2023-05-27 07:34:00,35.49658809214016,74.94982074080036,forest,clear,night,moving_fast,yes,no,none,no,strong,yes,low,29,147,no,no,no,high,1,9.75,Kupwara Base
194,2023-07-20 02:32:00,35.26370463123562,73.6138023652378,border_zone,rainy,morning,stationary,yes,no,none,no,weak,yes,high,13,27,no,yes,no,high,1,47.45,Baramulla Post
195,2023-09-02 20:07:00,34.557088861674735,75.32187668482197,forest,rainy,night,stationary,yes,no,none,no,weak,no,medium,46,152,yes,yes,yes,low,1,28.4,Srinagar Base
196,2023-09-26 02:25:00,34.689071311607485,75.29252457537771,rural,clear,afternoon,hovering,no,yes,missile,yes,strong,yes,medium,12,114,yes,yes,yes,low,1,5.24,Kupwara Base
197,2023-05-06 10:32:00,33.638379555963446,72.83886310534092,border_zone,cloudy,night,hovering,no,no,sniper,yes,strong,yes,medium,6,73,yes,yes,no,medium,1,35.77,Kupwara Base
198,2023-11-27 10:10:00,34.67194187735722,73.70564245853907,rural,rainy,night,moving_slow,no,no,sniper,yes,strong,no,high,3,183,yes,no,yes,low,1,6.14,Kupwara Base
199,2023-08-01 18:24:00,34.22564842152983,74.15353747674585,mountain,foggy,afternoon,stationary,yes,yes,sniper,no,none,no,high,37,14,yes,yes,yes,low,0,45.53,Baramulla Post
200,2023-04-19 23:04:00,34.808641715360785,74.90273383602785,forest,windy,afternoon,hovering,yes,no,none,no,none,yes,low,46,121,no,yes,no,low,1,13.54,Baramulla Post
201,2023-10-01 21:58:00,32.61815134389777,73.01598067356977,forest,windy,afternoon,stationary,no,yes,none,no,none,yes,low,12,128,no,yes,yes,high,1,15.19,Baramulla Post
202,2023-05-26 15:26:00,33.19745934196787,73.93109043117755,rural,rainy,afternoon,moving_fast,no,no,none,no,none,yes,high,8,52,yes,no,yes,high,0,45.79,Baramulla Post
203,2023-12-31 08:12:00,32.854907968480795,72.6960986477652,mountain,rainy,night,hovering,yes,no,sniper,yes,strong,no,high,4,20,yes,no,yes,high,1,8.65,Baramulla Post
204,2023-10-12 06:37:00,34.73258947927921,72.79659041236157,mountain,cloudy,morning,stationary,no,no,drone,no,strong,yes,low,29,0,no,no,yes,medium,0,44.33,Jammu Camp
205,2023-06-07 22:54:00,34.76063015231334,74.00857660430879,forest,rainy,night,stationary,no,no,missile,yes,strong,no,low,39,88,no,no,no,medium,0,5.59,Baramulla Post
206,2023-03-11 13:12:00,32.54946744076502,74.9805692330244,urban,rainy,afternoon,moving_fast,yes,no,drone,no,none,no,high,41,130,no,yes,no,low,0,30.58,Baramulla Post
207,2023-07-28 02:34:00,34.900743499712306,73.95346313523552,mountain,windy,evening,hovering,yes,yes,sniper,no,weak,no,low,24,84,no,yes,no,high,0,29.4,Kupwara Base
208,2023-07-01 00:21:00,33.40010573793206,72.56597626419548,rural,cloudy,evening,moving_slow,no,yes,none,no,weak,yes,low,29,92,no,no,yes,high,1,19.0,Srinagar Base
209,2023-01-13 19:25:00,32.85231563918842,75.14145642623338,forest,rainy,evening,hovering,no,no,none,yes,strong,no,low,2,51,yes,no,no,high,0,10.33,Kupwara Base
210,2023-12-20 21:22:00,34.99843967344839,73.70800861650356,border_zone,cloudy,morning,moving_slow,yes,yes,unknown,no,none,yes,low,13,95,yes,no,no,medium,1,24.75,Baramulla Post
211,2023-01-24 22:19:00,34.68279946317202,72.92533407687077,urban,rainy,evening,hovering,no,no,none,no,strong,yes,high,15,168,no,yes,no,low,0,46.66,Kupwara Base
212,2023-11-24 22:38:00,34.704478900436456,74.54296886831554,mountain,cloudy,evening,hovering,no,no,none,no,none,yes,high,31,47,yes,no,yes,low,0,25.98,Jammu Camp
213,2023-01-04 17:08:00,35.211952485120975,73.01481038890536,urban,windy,night,moving_fast,yes,no,missile,yes,weak,yes,low,6,40,yes,no,no,medium,0,31.04,Baramulla Post
214,2023-08-02 09:37:00,32.5174983301134,72.58340722336875,forest,foggy,night,moving_slow,yes,yes,unknown,no,none,yes,low,18,76,no,yes,no,high,0,3.57,Srinagar Base
215,2023-06-03 00:54:00,34.62431812324355,75.01687654721674,urban,foggy,morning,moving_fast,yes,no,sniper,no,none,yes,medium,38,45,yes,no,yes,medium,1,47.62,Jammu Camp
216,2023-04-22 13:46:00,34.51984535230046,75.3426426156303,mountain,windy,afternoon,stationary,no,yes,missile,no,strong,yes,medium,41,111,yes,no,yes,high,1,10.96,Jammu Camp
217,2023-11-19 11:14:00,35.30615377901504,74.84416596374588,urban,windy,morning,moving_fast,yes,yes,unknown,no,none,yes,high,27,79,yes,yes,yes,low,1,31.51,Srinagar Base
218,2023-11-12 09:05:00,33.18568362284716,74.10480285452259,forest,windy,morning,stationary,yes,no,none,yes,weak,no,high,1,62,yes,no,yes,high,1,36.98,Kupwara Base
219,2023-02-20 02:19:00,34.03278043833764,72.8780052453102,urban,clear,night,stationary,yes,yes,missile,yes,none,no,medium,21,81,yes,yes,no,low,1,14.46,Jammu Camp
220,2023-05-03 06:34:00,33.37834742340623,72.9183481216582,forest,foggy,morning,moving_slow,no,yes,sniper,yes,strong,no,high,34,119,no,yes,no,high,0,2.14,Baramulla Post
221,2023-07-10 19:19:00,33.32297185421733,74.00830868065349,urban,cloudy,afternoon,stationary,yes,no,unknown,yes,strong,yes,medium,0,26,no,yes,no,high,0,37.68,Baramulla Post
222,2023-12-24 17:07:00,35.18363108245333,74.57675545114435,rural,clear,evening,stationary,no,no,none,yes,none,yes,medium,39,116,yes,no,no,medium,0,30.04,Srinagar Base
223,2023-08-03 15:36:00,33.5799397483,74.99505276568205,border_zone,cloudy,morning,hovering,no,yes,missile,no,weak,no,high,1,197,no,no,no,high,1,13.11,Srinagar Base
224,2023-11-12 02:37:00,34.479088966818054,74.73057751853449,rural,rainy,morning,moving_slow,no,yes,unknown,no,none,no,high,41,23,no,yes,yes,low,0,3.65,Jammu Camp
225,2023-05-17 05:43:00,33.40853362434831,74.28318719081471,border_zone,cloudy,afternoon,hovering,no,no,sniper,yes,strong,yes,medium,17,165,no,yes,no,high,0,47.04,Kupwara Base
226,2023-03-12 13:54:00,34.59758520425406,73.02970624960423,mountain,cloudy,afternoon,stationary,no,yes,sniper,yes,weak,no,low,46,9,yes,yes,no,medium,0,29.06,Srinagar Base
227,2023-05-06 05:35:00,34.534137051016,72.72796595076825,border_zone,cloudy,morning,moving_slow,no,yes,drone,no,strong,yes,low,43,100,no,no,yes,high,0,46.65,Jammu Camp
228,2023-02-04 03:02:00,33.15955643696733,73.14618474573147,rural,windy,evening,moving_fast,yes,no,sniper,no,strong,no,medium,9,35,yes,yes,no,high,1,25.49,Srinagar Base
229,2023-12-18 17:21:00,33.22282266058421,75.33023450256952,forest,foggy,afternoon,moving_slow,yes,no,none,no,weak,yes,high,44,133,yes,no,no,medium,0,4.86,Srinagar Base
230,2023-12-16 05:44:00,34.971825984386875,75.04692482321931,mountain,rainy,afternoon,moving_slow,no,no,drone,no,none,yes,high,46,149,yes,yes,no,medium,1,18.55,Srinagar Base
231,2023-01-21 13:41:00,34.884575121212706,74.93586942397751,forest,foggy,night,stationary,no,no,sniper,no,none,no,high,14,104,yes,no,no,high,0,9.11,Kupwara Base
232,2023-05-26 22:18:00,33.147054700235365,73.49817210194799,forest,cloudy,evening,moving_fast,yes,yes,drone,no,strong,no,low,40,86,yes,yes,no,low,1,2.32,Kupwara Base
233,2023-04-06 15:57:00,34.51137257210658,73.53267473830095,rural,windy,afternoon,moving_slow,no,no,unknown,yes,none,yes,high,0,172,no,no,yes,medium,1,6.86,Kupwara Base
234,2023-07-20 05:02:00,32.8352685434319,73.36711662407237,urban,windy,afternoon,hovering,yes,no,drone,no,strong,yes,high,28,132,yes,yes,yes,high,0,21.24,Jammu Camp
235,2023-06-19 18:09:00,33.149350188533646,73.67158545214163,forest,cloudy,evening,stationary,yes,yes,missile,no,none,yes,medium,12,62,yes,no,yes,low,1,3.03,Kupwara Base
236,2023-06-12 14:39:00,32.635580547917606,74.45608481761381,forest,rainy,afternoon,hovering,no,no,sniper,yes,none,no,medium,2,134,yes,no,yes,medium,1,1.08,Kupwara Base
237,2023-09-02 16:48:00,33.456628488558756,74.55663559662432,mountain,cloudy,night,moving_fast,yes,yes,sniper,no,weak,no,high,15,21,no,no,yes,high,0,3.29,Kupwara Base
238,2023-02-19 13:21:00,35.45773688568255,72.84805191953818,forest,rainy,evening,moving_fast,no,no,none,no,weak,yes,low,44,119,no,no,no,high,1,15.39,Jammu Camp
239,2023-10-05 12:18:00,34.95868357260132,75.49208719974035,mountain,windy,afternoon,moving_fast,yes,yes,sniper,no,weak,yes,medium,42,38,yes,yes,no,medium,0,30.63,Srinagar Base
240,2023-04-21 08:48:00,34.32921812497893,74.85834035514694,urban,foggy,evening,moving_fast,yes,no,none,no,strong,no,medium,14,145,no,no,no,high,0,11.6,Srinagar Base
241,2023-08-29 08:02:00,32.89999735871952,72.89042852433025,rural,foggy,afternoon,moving_slow,no,no,drone,yes,none,no,high,23,58,yes,no,yes,low,1,34.96,Jammu Camp
242,2023-10-14 18:45:00,34.579903750930555,74.78165016693998,border_zone,foggy,morning,hovering,yes,yes,unknown,yes,strong,no,high,33,158,yes,no,no,low,1,39.76,Kupwara Base
243,2023-11-17 15:58:00,34.52982185129625,72.96623619550104,forest,rainy,afternoon,moving_fast,yes,no,none,no,strong,no,medium,26,15,yes,yes,no,medium,0,6.27,Baramulla Post
244,2023-03-30 10:33:00,35.43065316509884,74.5164270507724,urban,clear,morning,hovering,no,yes,sniper,no,weak,yes,medium,42,80,no,no,yes,high,1,25.81,Jammu Camp
245,2023-12-03 12:04:00,33.419979993794364,72.78184856688722,rural,windy,night,hovering,no,no,unknown,no,weak,no,low,2,26,yes,no,no,low,0,35.94,Baramulla Post
246,2023-10-25 12:06:00,33.487783247694516,73.61216348908259,border_zone,clear,night,hovering,yes,no,none,no,none,yes,low,29,85,no,no,no,medium,0,31.12,Kupwara Base
247,2023-07-14 06:01:00,33.53235007853078,73.10790532287457,forest,windy,afternoon,hovering,no,no,drone,no,weak,yes,high,22,50,no,yes,no,high,0,34.3,Srinagar Base
248,2023-03-10 18:32:00,33.455283805475695,74.9807452667989,urban,cloudy,morning,stationary,no,no,sniper,no,none,no,high,50,121,no,yes,no,high,1,15.91,Baramulla Post
249,2023-12-31 19:17:00,35.48771882570666,74.52771063819455,forest,clear,morning,stationary,yes,yes,unknown,no,weak,no,medium,7,133,yes,no,no,medium,0,34.67,Kupwara Base
250,2023-12-22 02:37:00,35.063014741528555,74.92246721194843,rural,windy,night,stationary,no,no,unknown,no,none,no,high,47,133,no,yes,yes,medium,0,35.69,Srinagar Base
251,2023-07-05 07:32:00,34.62219374838615,75.15745924850576,urban,cloudy,afternoon,moving_slow,yes,yes,missile,yes,weak,no,medium,15,140,no,yes,yes,low,0,42.43,Baramulla Post
252,2023-08-22 13:16:00,34.17258185500988,72.71551661255914,urban,rainy,morning,stationary,no,yes,drone,no,none,yes,low,9,58,yes,no,yes,low,0,34.94,Jammu Camp
253,2023-03-16 12:22:00,33.25462121309753,72.89321009085396,border_zone,cloudy,night,hovering,no,yes,unknown,no,strong,no,high,50,22,yes,no,no,medium,0,6.33,Baramulla Post
254,2023-03-11 02:38:00,32.89767262857576,74.77058758541641,border_zone,cloudy,night,moving_slow,yes,yes,sniper,no,strong,no,high,18,49,no,no,no,medium,1,6.45,Srinagar Base
255,2023-12-11 00:59:00,32.76865161856362,74.79596929250295,forest,clear,evening,stationary,yes,no,sniper,yes,strong,no,medium,27,81,no,yes,no,medium,1,12.41,Kupwara Base
256,2023-09-18 09:10:00,33.054255108674155,73.53429738911572,forest,rainy,evening,stationary,yes,yes,missile,yes,weak,yes,low,8,70,yes,yes,yes,medium,1,37.45,Jammu Camp
257,2023-12-09 02:39:00,35.18253481599152,73.03216585541689,rural,rainy,evening,stationary,no,yes,drone,yes,none,no,medium,43,99,yes,yes,no,medium,1,27.0,Kupwara Base
258,2023-01-08 05:59:00,35.440106023322144,72.59439591773499,border_zone,windy,night,moving_slow,no,no,missile,yes,strong,no,medium,28,126,no,yes,yes,low,0,6.03,Baramulla Post
259,2023-09-11 20:48:00,33.909550617214926,72.75497154665204,forest,clear,morning,stationary,yes,yes,drone,no,none,yes,high,33,100,yes,no,no,low,1,12.68,Jammu Camp
260,2023-08-17 09:45:00,33.53112822598904,75.49518914143059,urban,foggy,evening,stationary,yes,no,drone,yes,strong,no,high,17,94,yes,yes,no,medium,0,24.54,Baramulla Post
261,2023-02-02 13:50:00,35.37029612805716,74.10249887323421,mountain,rainy,morning,hovering,yes,no,sniper,no,none,no,high,3,196,no,no,no,low,1,15.43,Kupwara Base
262,2023-07-12 14:50:00,33.8143308586588,73.02395214102077,forest,foggy,night,hovering,yes,no,missile,yes,weak,no,medium,6,114,no,yes,no,medium,0,34.83,Kupwara Base
263,2023-02-15 16:44:00,34.90679478032715,73.34126782950163,border_zone,foggy,morning,stationary,no,yes,unknown,yes,weak,no,medium,48,44,yes,no,yes,high,0,28.33,Baramulla Post
264,2023-03-30 22:24:00,34.26610334415545,75.32789955393147,border_zone,clear,afternoon,moving_slow,no,no,none,no,none,yes,high,2,107,yes,no,yes,low,0,43.01,Jammu Camp
265,2023-11-09 00:33:00,34.225411416541135,75.34825455107301,forest,rainy,evening,stationary,yes,no,drone,no,weak,no,medium,12,110,no,no,no,low,1,39.69,Baramulla Post
266,2023-12-14 16:50:00,34.814829763311856,74.69886184213397,urban,cloudy,night,hovering,no,no,none,yes,none,yes,high,39,198,yes,yes,no,high,0,14.99,Kupwara Base
267,2023-03-06 09:22:00,32.99475689180984,74.64008103300986,mountain,windy,night,stationary,no,no,unknown,no,strong,no,low,12,194,no,yes,no,low,0,13.82,Srinagar Base
268,2023-06-28 11:10:00,34.04868046503608,74.856172545463,rural,clear,evening,stationary,no,no,none,no,strong,no,low,14,47,no,yes,no,high,0,34.17,Srinagar Base
269,2023-08-29 10:25:00,35.12687444616041,75.18907836609137,urban,cloudy,morning,stationary,yes,no,unknown,no,none,no,low,36,103,no,no,no,medium,1,23.96,Kupwara Base
270,2023-09-04 08:32:00,34.01803839092131,74.46531057287825,rural,clear,evening,moving_slow,yes,no,drone,yes,weak,yes,high,12,10,no,no,no,low,0,45.2,Baramulla Post
271,2023-11-24 12:04:00,33.54863532300818,73.53014776044469,mountain,cloudy,morning,moving_slow,yes,no,none,yes,none,yes,medium,4,42,yes,no,yes,medium,0,49.08,Kupwara Base
272,2023-01-06 12:11:00,34.90605756820463,73.55706273519725,rural,windy,afternoon,stationary,no,no,drone,yes,none,no,low,15,90,no,no,no,low,0,26.12,Kupwara Base
273,2023-04-28 13:53:00,33.35726492032597,74.91970082949788,rural,cloudy,afternoon,hovering,yes,yes,none,no,weak,yes,high,11,78,yes,no,no,medium,1,16.33,Jammu Camp
274,2023-09-22 14:53:00,34.23944332469491,73.03776777478384,urban,rainy,afternoon,moving_fast,no,yes,drone,no,weak,yes,high,6,32,no,yes,no,high,1,45.0,Srinagar Base
275,2023-03-10 02:44:00,35.40220649974871,74.40403739576324,forest,rainy,evening,moving_fast,yes,no,unknown,no,strong,yes,medium,34,111,yes,yes,yes,medium,0,48.93,Srinagar Base
276,2023-09-14 15:08:00,33.232274358095026,72.50623869581145,mountain,windy,night,moving_slow,yes,yes,drone,no,strong,yes,medium,17,199,no,no,no,high,0,33.64,Baramulla Post
277,2023-03-08 17:23:00,33.79473338152037,74.07302865019776,urban,clear,morning,hovering,yes,no,sniper,no,weak,yes,medium,12,192,no,no,no,medium,1,17.69,Jammu Camp
278,2023-01-23 04:31:00,35.36096645714035,72.5848683767019,rural,windy,evening,moving_slow,no,no,none,yes,strong,yes,medium,40,104,no,yes,no,high,1,1.61,Jammu Camp
279,2023-12-03 15:20:00,35.08839717116898,74.7962728469084,forest,cloudy,evening,stationary,yes,no,unknown,no,strong,no,low,0,5,yes,yes,yes,low,0,45.64,Baramulla Post
280,2023-04-03 11:45:00,33.348178990619246,74.6239579695284,border_zone,clear,evening,hovering,yes,yes,unknown,no,weak,no,low,39,126,yes,no,yes,medium,1,15.67,Jammu Camp
281,2023-10-14 19:19:00,33.45480751537235,73.1943378014288,border_zone,windy,night,moving_fast,yes,yes,drone,no,strong,yes,low,9,7,no,no,yes,medium,1,23.31,Baramulla Post
282,2023-11-15 15:34:00,34.06914857961509,74.75727619572618,urban,rainy,evening,moving_fast,yes,yes,sniper,no,none,no,low,50,130,yes,no,no,medium,1,7.81,Jammu Camp
283,2023-03-10 06:19:00,33.096845894226156,75.13555604056552,border_zone,cloudy,afternoon,stationary,yes,yes,none,yes,none,no,medium,43,53,yes,no,yes,medium,1,4.75,Srinagar Base
284,2023-05-20 12:46:00,33.037265565253044,72.61245123888723,rural,rainy,morning,moving_fast,yes,yes,unknown,no,weak,no,low,6,68,yes,yes,no,medium,0,17.06,Srinagar Base
285,2023-07-04 06:49:00,34.366305222280126,75.19597388491057,mountain,rainy,night,hovering,no,no,unknown,no,none,no,medium,31,46,yes,yes,yes,low,1,10.58,Baramulla Post
286,2023-02-18 15:04:00,35.1023048352872,74.26267918974587,rural,clear,morning,stationary,yes,no,drone,no,none,yes,low,34,95,yes,yes,no,medium,0,37.57,Jammu Camp
287,2023-08-09 17:19:00,33.14115315378501,72.87738349565277,rural,cloudy,morning,hovering,no,no,none,no,none,no,medium,10,185,yes,yes,yes,medium,0,14.2,Srinagar Base
288,2023-12-09 02:08:00,34.98958308617113,75.40129761617835,border_zone,windy,morning,stationary,yes,yes,unknown,no,weak,yes,low,21,75,yes,no,no,low,0,37.8,Srinagar Base
289,2023-05-26 15:41:00,33.75518938916198,75.45187110802615,rural,cloudy,evening,moving_fast,no,no,missile,yes,weak,no,high,47,182,no,yes,yes,high,0,26.09,Srinagar Base
290,2023-08-17 10:06:00,33.44442941661273,75.06226261462845,rural,rainy,morning,moving_slow,no,no,unknown,yes,strong,no,low,5,118,yes,no,yes,low,0,26.04,Kupwara Base
291,2023-07-28 05:11:00,35.16066699717695,73.00194297024784,mountain,windy,morning,hovering,yes,yes,drone,no,weak,no,medium,46,45,no,yes,no,low,0,11.06,Jammu Camp
292,2023-01-13 03:20:00,35.38570882212585,73.85149851735308,urban,windy,morning,moving_fast,no,yes,drone,yes,none,yes,low,32,88,no,no,no,medium,1,28.68,Baramulla Post
293,2023-08-14 06:30:00,34.717681408064294,73.30953697619123,urban,clear,evening,stationary,no,no,drone,yes,none,no,low,23,143,yes,no,yes,low,1,12.33,Jammu Camp
294,2023-01-07 19:24:00,34.37122788489729,72.9747283587413,mountain,cloudy,night,moving_fast,no,yes,none,yes,weak,no,medium,47,137,no,yes,no,medium,0,1.99,Baramulla Post
295,2023-04-10 12:47:00,35.431560814827584,74.7067070188271,urban,windy,morning,stationary,no,no,none,no,strong,yes,medium,1,167,yes,no,no,low,0,47.42,Kupwara Base
